1: P1_INFO:position((-2.04, 0.00))guardHealth(3)cancelable(True)dead(False)currentAction:2)isInHitStun(False)
P2_INFO:position((2.04, 0.00))guardHealth(3)cancelable(True)dead(False)currentAction:2)isInHitStun(False)

2: P1_INFO:position((-2.07, 0.00))guardHealth(3)cancelable(True)dead(False)currentAction:2)isInHitStun(False)
P2_INFO:position((2.07, 0.00))guardHealth(3)cancelable(True)dead(False)currentAction:2)isInHitStun(False)

3: P1_INFO:position((-2.11, 0.00))guardHealth(3)cancelable(True)dead(False)currentAction:2)isInHitStun(False)
P2_INFO:position((2.11, 0.00))guardHealth(3)cancelable(True)dead(False)currentAction:2)isInHitStun(False)

4: P1_INFO:position((-2.14, 0.00))guardHealth(3)cancelable(True)dead(False)currentAction:2)isInHitStun(False)
P2_INFO:position((2.14, 0.00))guardHealth(3)cancelable(True)dead(False)currentAction:2)isInHitStun(False)

5: P1_INFO:position((-2.14, 0.00))guardHealth(3)cancelable(True)dead(False)currentAction:0)isInHitStun(False)
P2_INFO:position((2.18, 0.00))guardHealth(3)cancelable(True)dead(False)currentAction:2)isInHitStun(False)

6: P1_INFO:position((-2.14, 0.00))guardHealth(3)cancelable(True)dead(False)currentAction:0)isInHitStun(False)
P2_INFO:position((2.22, 0.00))guardHealth(3)cancelable(True)dead(False)currentAction:2)isInHitStun(False)

7: P1_INFO:position((-2.14, 0.00))guardHealth(3)cancelable(True)dead(False)currentAction:0)isInHitStun(False)
P2_INFO:position((2.25, 0.00))guardHealth(3)cancelable(True)dead(False)currentAction:2)isInHitStun(False)

8: P1_INFO:position((-2.14, 0.00))guardHealth(3)cancelable(True)dead(False)currentAction:0)isInHitStun(False)
P2_INFO:position((2.29, 0.00))guardHealth(3)cancelable(True)dead(False)currentAction:2)isInHitStun(False)

9: P1_INFO:position((-2.14, 0.00))guardHealth(3)cancelable(True)dead(False)currentAction:0)isInHitStun(False)
P2_INFO:position((2.32, 0.00))guardHealth(3)cancelable(True)dead(False)currentAction:2)isInHitStun(False)

10: P1_INFO:position((-2.14, 0.00))guardHealth(3)cancelable(True)dead(False)currentAction:0)isInHitStun(False)
P2_INFO:position((2.36, 0.00))guardHealth(3)cancelable(True)dead(False)currentAction:2)isInHitStun(False)

11: P1_INFO:position((-2.14, 0.00))guardHealth(3)cancelable(True)dead(False)currentAction:0)isInHitStun(False)
P2_INFO:position((2.40, 0.00))guardHealth(3)cancelable(True)dead(False)currentAction:2)isInHitStun(False)

12: P1_INFO:position((-2.14, 0.00))guardHealth(3)cancelable(True)dead(False)currentAction:0)isInHitStun(False)
P2_INFO:position((2.43, 0.00))guardHealth(3)cancelable(True)dead(False)currentAction:2)isInHitStun(False)

13: P1_INFO:position((-2.14, 0.00))guardHealth(3)cancelable(True)dead(False)currentAction:0)isInHitStun(False)
P2_INFO:position((2.47, 0.00))guardHealth(3)cancelable(True)dead(False)currentAction:2)isInHitStun(False)

14: P1_INFO:position((-2.14, 0.00))guardHealth(3)cancelable(True)dead(False)currentAction:0)isInHitStun(False)
P2_INFO:position((2.50, 0.00))guardHealth(3)cancelable(True)dead(False)currentAction:2)isInHitStun(False)

15: P1_INFO:position((-2.14, 0.00))guardHealth(3)cancelable(True)dead(False)currentAction:0)isInHitStun(False)
P2_INFO:position((2.54, 0.00))guardHealth(3)cancelable(True)dead(False)currentAction:2)isInHitStun(False)

16: P1_INFO:position((-2.14, 0.00))guardHealth(3)cancelable(True)dead(False)currentAction:0)isInHitStun(False)
P2_INFO:position((2.58, 0.00))guardHealth(3)cancelable(True)dead(False)currentAction:2)isInHitStun(False)

17: P1_INFO:position((-2.14, 0.00))guardHealth(3)cancelable(True)dead(False)currentAction:0)isInHitStun(False)
P2_INFO:position((2.61, 0.00))guardHealth(3)cancelable(True)dead(False)currentAction:2)isInHitStun(False)

18: P1_INFO:position((-2.14, 0.00))guardHealth(3)cancelable(True)dead(False)currentAction:0)isInHitStun(False)
P2_INFO:position((2.65, 0.00))guardHealth(3)cancelable(True)dead(False)currentAction:2)isInHitStun(False)

19: P1_INFO:position((-2.14, 0.00))guardHealth(3)cancelable(True)dead(False)currentAction:0)isInHitStun(False)
P2_INFO:position((2.68, 0.00))guardHealth(3)cancelable(True)dead(False)currentAction:2)isInHitStun(False)

