1: P1_INFO:currentInput(2)position(-1.96, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(1)currentActionFrame(0)currentActionFrameCount(24)isAlwaysCancelable(True)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
2: P1_INFO:currentInput(2)position(-1.91, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(1)currentActionFrame(1)currentActionFrameCount(24)isAlwaysCancelable(True)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
3: P1_INFO:currentInput(2)position(-1.87, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(1)currentActionFrame(2)currentActionFrameCount(24)isAlwaysCancelable(True)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
4: P1_INFO:currentInput(2)position(-1.82, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(1)currentActionFrame(3)currentActionFrameCount(24)isAlwaysCancelable(True)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
5: P1_INFO:currentInput(2)position(-1.78, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(1)currentActionFrame(4)currentActionFrameCount(24)isAlwaysCancelable(True)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
6: P1_INFO:currentInput(2)position(-1.74, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(1)currentActionFrame(5)currentActionFrameCount(24)isAlwaysCancelable(True)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
7: P1_INFO:currentInput(2)position(-1.69, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(1)currentActionFrame(6)currentActionFrameCount(24)isAlwaysCancelable(True)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
8: P1_INFO:currentInput(2)position(-1.65, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(1)currentActionFrame(7)currentActionFrameCount(24)isAlwaysCancelable(True)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
9: P1_INFO:currentInput(2)position(-1.60, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(1)currentActionFrame(8)currentActionFrameCount(24)isAlwaysCancelable(True)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
10: P1_INFO:currentInput(2)position(-1.56, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(1)currentActionFrame(9)currentActionFrameCount(24)isAlwaysCancelable(True)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
11: P1_INFO:currentInput(2)position(-1.52, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(1)currentActionFrame(10)currentActionFrameCount(24)isAlwaysCancelable(True)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
