1: P1_INFO:position((-2.00, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
2: P1_INFO:position((-2.00, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
3: P1_INFO:position((-2.00, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
4: P1_INFO:position((-2.00, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
5: P1_INFO:position((-1.90, 0.00))guardHealth(3)dead(False)currentAction:10)isInHitStun(False)
6: P1_INFO:position((-1.80, 0.00))guardHealth(3)dead(False)currentAction:10)isInHitStun(False)
7: P1_INFO:position((-1.70, 0.00))guardHealth(3)dead(False)currentAction:10)isInHitStun(False)
8: P1_INFO:position((-1.56, 0.00))guardHealth(3)dead(False)currentAction:10)isInHitStun(False)
9: P1_INFO:position((-1.42, 0.00))guardHealth(3)dead(False)currentAction:10)isInHitStun(False)
10: P1_INFO:position((-1.28, 0.00))guardHealth(3)dead(False)currentAction:10)isInHitStun(False)
11: P1_INFO:position((-1.14, 0.00))guardHealth(3)dead(False)currentAction:10)isInHitStun(False)
12: P1_INFO:position((-1.00, 0.00))guardHealth(3)dead(False)currentAction:10)isInHitStun(False)
13: P1_INFO:position((-0.86, 0.00))guardHealth(3)dead(False)currentAction:10)isInHitStun(False)
14: P1_INFO:position((-0.76, 0.00))guardHealth(3)dead(False)currentAction:10)isInHitStun(False)
15: P1_INFO:position((-0.66, 0.00))guardHealth(3)dead(False)currentAction:10)isInHitStun(False)
16: P1_INFO:position((-0.56, 0.00))guardHealth(3)dead(False)currentAction:10)isInHitStun(False)
17: P1_INFO:position((-0.52, 0.00))guardHealth(3)dead(False)currentAction:10)isInHitStun(False)
18: P1_INFO:position((-0.48, 0.00))guardHealth(3)dead(False)currentAction:10)isInHitStun(False)
19: P1_INFO:position((-0.46, 0.00))guardHealth(3)dead(False)currentAction:10)isInHitStun(False)
20: P1_INFO:position((-0.46, 0.00))guardHealth(3)dead(False)currentAction:10)isInHitStun(False)
21: P1_INFO:position((-0.42, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
22: P1_INFO:position((-0.37, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
23: P1_INFO:position((-0.33, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
24: P1_INFO:position((-0.28, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
25: P1_INFO:position((-0.24, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
26: P1_INFO:position((-0.20, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
27: P1_INFO:position((-0.15, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
28: P1_INFO:position((-0.11, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
29: P1_INFO:position((-0.06, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
30: P1_INFO:position((-0.02, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
31: P1_INFO:position((0.02, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
32: P1_INFO:position((0.07, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
33: P1_INFO:position((0.11, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
