1: P1_INFO:position((-2.00, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:0)isInHitStun(False)P2_INFO:position((2.00, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:0)isInHitStun(False)
2: P1_INFO:position((-2.00, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:0)isInHitStun(False)P2_INFO:position((2.04, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:2)isInHitStun(False)
3: P1_INFO:position((-2.00, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:0)isInHitStun(False)P2_INFO:position((2.07, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:2)isInHitStun(False)
4: P1_INFO:position((-2.00, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:0)isInHitStun(False)P2_INFO:position((2.11, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:2)isInHitStun(False)
5: P1_INFO:position((-1.96, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:1)isInHitStun(False)P2_INFO:position((2.14, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:2)isInHitStun(False)
6: P1_INFO:position((-1.91, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:1)isInHitStun(False)P2_INFO:position((2.18, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:2)isInHitStun(False)
7: P1_INFO:position((-1.87, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:1)isInHitStun(False)P2_INFO:position((2.22, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:2)isInHitStun(False)
8: P1_INFO:position((-1.82, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:1)isInHitStun(False)P2_INFO:position((2.25, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:2)isInHitStun(False)
9: P1_INFO:position((-1.78, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:1)isInHitStun(False)P2_INFO:position((2.29, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:2)isInHitStun(False)
10: P1_INFO:position((-1.74, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:1)isInHitStun(False)P2_INFO:position((2.32, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:2)isInHitStun(False)
11: P1_INFO:position((-1.69, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:1)isInHitStun(False)P2_INFO:position((2.32, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:0)isInHitStun(False)
12: P1_INFO:position((-1.65, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:1)isInHitStun(False)P2_INFO:position((2.28, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:1)isInHitStun(False)
13: P1_INFO:position((-1.60, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:1)isInHitStun(False)P2_INFO:position((2.24, 0.00))velocity(2)dead(False)vitalHealth(1)guardHealth(3)currentAction:110)isInHitStun(False)
14: P1_INFO:position((-1.56, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:1)isInHitStun(False)P2_INFO:position((2.20, 0.00))velocity(2)dead(False)vitalHealth(1)guardHealth(3)currentAction:110)isInHitStun(False)
15: P1_INFO:position((-1.52, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:1)isInHitStun(False)P2_INFO:position((2.16, 0.00))velocity(2)dead(False)vitalHealth(1)guardHealth(3)currentAction:110)isInHitStun(False)
16: P1_INFO:position((-1.52, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:0)isInHitStun(False)P2_INFO:position((2.12, 0.00))velocity(2)dead(False)vitalHealth(1)guardHealth(3)currentAction:110)isInHitStun(False)
17: P1_INFO:position((-1.52, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:0)isInHitStun(False)P2_INFO:position((2.02, 0.00))velocity(5)dead(False)vitalHealth(1)guardHealth(3)currentAction:110)isInHitStun(False)
18: P1_INFO:position((-1.52, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:0)isInHitStun(False)P2_INFO:position((1.92, 0.00))velocity(5)dead(False)vitalHealth(1)guardHealth(3)currentAction:110)isInHitStun(False)
19: P1_INFO:position((-1.52, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:0)isInHitStun(False)P2_INFO:position((1.82, 0.00))velocity(5)dead(False)vitalHealth(1)guardHealth(3)currentAction:110)isInHitStun(False)
20: P1_INFO:position((-1.52, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:0)isInHitStun(False)P2_INFO:position((1.72, 0.00))velocity(5)dead(False)vitalHealth(1)guardHealth(3)currentAction:110)isInHitStun(False)
21: P1_INFO:position((-1.52, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:0)isInHitStun(False)P2_INFO:position((1.62, 0.00))velocity(5)dead(False)vitalHealth(1)guardHealth(3)currentAction:110)isInHitStun(False)
22: P1_INFO:position((-1.52, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:0)isInHitStun(False)P2_INFO:position((1.52, 0.00))velocity(5)dead(False)vitalHealth(1)guardHealth(3)currentAction:110)isInHitStun(False)
23: P1_INFO:position((-1.52, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:0)isInHitStun(False)P2_INFO:position((1.42, 0.00))velocity(5)dead(False)vitalHealth(1)guardHealth(3)currentAction:110)isInHitStun(False)
24: P1_INFO:position((-1.52, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:0)isInHitStun(False)P2_INFO:position((1.32, 0.00))velocity(5)dead(False)vitalHealth(1)guardHealth(3)currentAction:110)isInHitStun(False)
